Customer_ID,Product,Feedback,Rating,Sentiment
1,Customer Support,Great experience overall!,2,Positive
2,Payment,Needs improvement in delivery time.,3,Positive
3,Delivery,Customer support was very helpful.,4,Neutral
4,Payment,The service was quick but could be better.,5,Negative
5,Payment,The service was quick but could be better.,1,Positive
6,Website,Amazing support from the team.,5,Positive
7,Delivery,Customer support was very helpful.,4,Neutral
8,Delivery,Quality is not as expected.,4,Positive
9,Delivery,"I love the product, very useful!",4,Negative
10,Payment,Delivery took too long.,5,Negative
11,Customer Support,The service was quick but could be better.,4,Positive
12,Delivery,Payment process failed multiple times.,5,Positive
13,Product Quality,The service was quick but could be better.,4,Neutral
14,Payment,Great experience overall!,3,Negative
15,Website,The service was quick but could be better.,4,Negative
16,Customer Support,The service was quick but could be better.,5,Positive
17,Product Quality,"I love the product, very useful!",2,Neutral
18,Product Quality,"I love the product, very useful!",4,Negative
19,Website,Website is easy to navigate.,2,Negative
20,Customer Support,Quality is not as expected.,3,Neutral
21,Payment,Payment process failed multiple times.,1,Neutral
22,Mobile App,The service was quick but could be better.,3,Negative
23,Customer Support,The service was quick but could be better.,4,Negative
24,Website,Delivery took too long.,2,Neutral
25,Product Quality,"I love the product, very useful!",2,Negative
26,Payment,Payment process failed multiple times.,5,Positive
27,Customer Support,Amazing support from the team.,2,Positive
28,Mobile App,Website is easy to navigate.,5,Neutral
29,Mobile App,Quality is not as expected.,1,Neutral
30,Delivery,Customer support was very helpful.,4,Neutral
31,Delivery,Quality is not as expected.,5,Positive
32,Website,Great experience overall!,1,Negative
33,Customer Support,The service was quick but could be better.,2,Positive
34,Customer Support,Website is easy to navigate.,2,Negative
35,Product Quality,Great experience overall!,1,Positive
36,Product Quality,Payment process failed multiple times.,2,Negative
37,Product Quality,Customer support was very helpful.,1,Positive
38,Delivery,"I love the product, very useful!",5,Neutral
39,Customer Support,Website is easy to navigate.,5,Positive
40,Customer Support,Website is easy to navigate.,1,Negative
41,Mobile App,The service was quick but could be better.,5,Positive
42,Delivery,Needs improvement in delivery time.,5,Positive
